,q,sample,Kq,angle/90,h/lo,D/lo,d/lo,liquid,a/a_smooth_Kut,Pr,P,a/a_smooth_Lab,a/a_smooth_Bor
188,222541.23711,22,1399.0459553236,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.38557811813044,1.75,101325,1.45658187690911,1.20874908891957
189,298849.48454,22,1878.7716291411,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.30398137477913,1.75,101325,1.38434182801873,1.14880045529724
190,377134.02062,22,2370.92160093698,1.0,0.119862546276975,0.0439496003015575,0.0559358549292551,вода,1.33660372140851,1.75,101325,1.43002202254815,1.18670830956512
191,38303.16915,23,240.79983813919,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,4.18214161263649,1.75,101325,4.14600760280817,3.44057755488653
192,55427.45323,23,348.454763990502,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,3.67384223281568,1.75,101325,3.68724109823192,3.05986871645852
193,76107.29286,23,478.462336370408,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,3.12734084464708,1.75,101325,3.17209580443625,2.63237376103723
194,101075.60137,23,635.430148205304,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,2.71826050855659,1.75,101325,2.78336069118089,2.30978069474455
195,127860.82474,23,803.820325706271,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,2.45512445351914,1.75,101325,2.5336986775213,2.10259788110881
196,160427.64414,23,1008.55755800989,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,2.18405949424681,1.75,101325,2.27107062886427,1.88465516221919
197,189676.21229,23,1192.43400041969,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,2.03014091367452,1.75,101325,2.12283781522918,1.76164369182412
198,229132.68423,23,1440.48428627171,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,1.8434063897418,1.75,101325,1.93975788538216,1.60971423155125
199,268867.88851,23,1690.28687366549,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,1.67301735802608,1.75,101325,1.76987236226134,1.46873419153547
200,311459.33562,23,1958.04575100637,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,1.57484401082423,1.75,101325,1.67420174770406,1.38934162870345
201,367880.87056,23,2312.74999043656,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,1.52137012877704,1.75,101325,1.62635491978412,1.34963578684673
202,433846.88813,23,2727.45735554614,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,1.41280441223239,1.75,101325,1.51862354214791,1.26023456153275
203,491046.20084,23,3087.0512363632,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,1.33522662534949,1.75,101325,1.44117238492839,1.19596147314068
204,560137.45704,23,3521.40598243239,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,1.25650487017583,1.75,101325,1.36216860378249,1.13039993486042
205,636541.80985,23,4001.73584019763,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,1.23333840914309,1.75,101325,1.3427650350075,1.11429782178983
206,709484.53608,23,4460.30355298479,0.722222222222222,0.14383505553237,0.0339610547784763,0.0459473094061738,вода,1.1544526635184,1.75,101325,1.26143370382906,1.04680475873514
207,212201.4433,30,1334.04296128699,0.888888888888889,0.199770910461625,0.0799083641846501,0.0799083641846501,вода,1.46001256999691,1.75,101325,1.53239858407393,1.27166582375141
